Day,Number of Bicycle Hires,,Month,Number of Bicycle Hires,,Year,Number of Bicycle Hires,,Month,Average Hire Time (mins),
7/30/10,"6,897",,Jul 10,"12,461",,2010,"2,180,813",,Jul 10,17,
7/31/10,"5,564",,Aug 10,"341,203",,2011,"7,142,449",,Aug 10,17,
8/1/10,"4,303",,Sep 10,"540,859",,2012,"9,519,283",,Sep 10,15,
8/2/10,"6,642",,Oct 10,"544,412",,2013,"8,045,459",,Oct 10,15,
8/3/10,"7,966",,Nov 10,"456,304",,2014,"10,023,897",,Nov 10,14,
8/4/10,"7,893",,Dec 10,"285,574",,2015,"9,871,780",,Dec 10,17,
8/5/10,"8,724",,Jan 11,"403,178",,2016,"10,303,637",,Jan 11,16,
8/6/10,"9,797",,Feb 11,"398,292",,2017,"10,446,044",,Feb 11,17,
8/7/10,"6,631",,Mar 11,"556,155",,2018,"10,567,540",,Mar 11,20,
8/8/10,"7,864",,Apr 11,"673,639",,2019,"3,067,135",,Apr 11,27,
8/9/10,"6,191",,May 11,"722,072",,Grand Total,"81,168,037",,May 11,15,
8/10/10,"4,802",,Jun 11,"638,717",,,,,Jun 11,16,
8/11/10,"14,013",,Jul 11,"708,454",,against last month,against last year,,Jul 11,16,
8/12/10,"13,080",,Aug 11,"642,440",,-9.32%,88.29%,,Aug 11,18,
8/13/10,"12,151",,Sep 11,"684,780",,6.59%,26.61%,,Sep 11,17,
8/14/10,"9,195",,Oct 11,"708,802",,3.51%,30.20%,,Oct 11,17,
8/15/10,"10,928",,Nov 11,"597,191",,-15.75%,30.88%,,Nov 11,16,
8/16/10,"15,384",,Dec 11,"408,729",,-31.56%,43.13%,,Dec 11,19,
8/17/10,"15,396",,Jan 12,"494,325",,20.94%,22.61%,,Jan 12,17,
8/18/10,"16,062",,Feb 12,"481,826",,-2.53%,20.97%,,Feb 12,17,
8/19/10,"17,170",,Mar 12,"818,209",,69.81%,47.12%,,Mar 12,21,
8/20/10,"16,462",,Apr 12,"649,473",,-20.62%,-3.59%,,Apr 12,21,
8/21/10,"11,719",,May 12,"926,952",,42.72%,28.37%,,May 12,22,
8/22/10,"10,129",,Jun 12,"858,805",,-7.35%,34.46%,,Jun 12,22,
8/23/10,"12,935",,Jul 12,"1,014,174",,18.09%,43.15%,,Jul 12,23,
8/24/10,"17,006",,Aug 12,"1,163,171",,14.69%,81.06%,,Aug 12,23,
8/25/10,"10,062",,Sep 12,"1,015,145",,-12.73%,48.24%,,Sep 12,20,
8/26/10,"9,875",,Oct 12,"856,866",,-15.59%,20.89%,,Oct 12,18,
8/27/10,"12,854",,Nov 12,"726,893",,-15.17%,21.72%,,Nov 12,17,
8/28/10,"10,116",,Dec 12,"513,444",,-29.36%,25.62%,,Dec 12,19,
8/29/10,"7,811",,Jan 13,"565,589",,10.16%,14.42%,,Jan 13,17,
8/30/10,"10,534",,Feb 13,"516,588",,-8.66%,7.21%,,Feb 13,16,
8/31/10,"17,508",,Mar 13,"504,611",,-2.32%,-38.33%,,Mar 13,16,
9/1/10,"19,332",,Apr 13,"658,230",,30.44%,1.35%,,Apr 13,20,
9/2/10,"20,909",,May 13,"749,934",,13.93%,-19.10%,,May 13,22,
9/3/10,"20,113",,Jun 13,"813,631",,8.49%,-5.26%,,Jun 13,22,
9/4/10,"14,373",,Jul 13,"998,755",,22.75%,-1.52%,,Jul 13,25,
9/5/10,"12,924",,Aug 13,"904,155",,-9.47%,-22.27%,,Aug 13,25,
9/6/10,"16,841",,Sep 13,"701,724",,-22.39%,-30.87%,,Sep 13,19,
9/7/10,"25,361",,Oct 13,"674,154",,-3.93%,-21.32%,,Oct 13,17,
9/8/10,"18,727",,Nov 13,"514,146",,-23.73%,-29.27%,,Nov 13,15,
9/9/10,"20,774",,Dec 13,"443,942",,-13.65%,-13.54%,,Dec 13,18,
9/10/10,"19,532",,Jan 14,"493,870",,11.25%,-12.68%,,Jan 14,15,
9/11/10,"13,383",,Feb 14,"522,940",,5.89%,1.23%,,Feb 14,17,
9/12/10,"14,002",,Mar 14,"757,864",,44.92%,50.19%,,Mar 14,20,
9/13/10,"18,037",,Apr 14,"805,571",,6.29%,22.38%,,Apr 14,21,
9/14/10,"17,026",,May 14,"890,709",,10.57%,18.77%,,May 14,21,
9/15/10,"20,890",,Jun 14,"1,052,573",,18.17%,29.37%,,Jun 14,21,
9/16/10,"20,433",,Jul 14,"1,183,182",,12.41%,18.47%,,Jul 14,22,
9/17/10,"20,488",,Aug 14,"1,055,206",,-10.82%,16.71%,,Aug 14,22,
9/18/10,"15,495",,Sep 14,"1,058,684",,0.33%,50.87%,,Sep 14,19,
9/19/10,"11,492",,Oct 14,"907,998",,-14.23%,34.69%,,Oct 14,18,
9/20/10,"20,169",,Nov 14,"715,447",,-21.21%,39.15%,,Nov 14,16,
9/21/10,"22,906",,Dec 14,"579,853",,-18.95%,30.61%,,Dec 14,18,
9/22/10,"23,905",,Jan 15,"583,663",,0.66%,18.18%,,Jan 15,15,
9/23/10,"17,729",,Feb 15,"549,278",,-5.89%,5.04%,,Feb 15,15,
9/24/10,"18,053",,Mar 15,"701,384",,27.69%,-7.45%,,Mar 15,17,
9/25/10,"14,010",,Apr 15,"838,543",,19.56%,4.09%,,Apr 15,20,
9/26/10,"7,890",,May 15,"899,969",,7.33%,1.04%,,May 15,21,
9/27/10,"18,789",,Jun 15,"1,039,768",,15.53%,-1.22%,,Jun 15,21,
9/28/10,"21,554",,Jul 15,"1,134,816",,9.14%,-4.09%,,Jul 15,23,
9/29/10,"13,899",,Aug 15,"1,042,932",,-8.10%,-1.16%,,Aug 15,24,
9/30/10,"21,823",,Sep 15,"903,429",,-13.38%,-14.66%,,Sep 15,19,
10/1/10,"11,424",,Oct 15,"885,375",,-2.00%,-2.49%,,Oct 15,19,
10/2/10,"10,704",,Nov 15,"684,518",,-22.69%,-4.32%,,Nov 15,16,
10/3/10,"8,237",,Dec 15,"608,164",,-11.15%,4.88%,,Dec 15,18,
10/4/10,"23,688",,Jan 16,"586,325",,-3.59%,0.46%,,Jan 16,16,
10/5/10,"22,054",,Feb 16,"597,641",,1.93%,8.80%,,Feb 16,16,
10/6/10,"20,114",,Mar 16,"664,485",,11.18%,-5.26%,,Mar 16,17,
10/7/10,"24,072",,Apr 16,"763,308",,14.87%,-8.97%,,Apr 16,18,
10/8/10,"22,886",,May 16,"1,013,666",,32.80%,12.63%,,May 16,21,
10/9/10,"14,463",,Jun 16,"963,232",,-4.98%,-7.36%,,Jun 16,19,
10/10/10,"14,871",,Jul 16,"1,188,428",,23.38%,4.72%,,Jul 16,23,
10/11/10,"21,986",,Aug 16,"1,158,393",,-2.53%,11.07%,,Aug 16,22,
10/12/10,"23,016",,Sep 16,"1,053,039",,-9.09%,16.56%,,Sep 16,19,
10/13/10,"22,251",,Oct 16,"945,143",,-10.25%,6.75%,,Oct 16,17,
10/14/10,"21,582",,Nov 16,"711,002",,-24.77%,3.87%,,Nov 16,15,
10/15/10,"20,934",,Dec 16,"658,975",,-7.32%,8.35%,,Dec 16,18,
10/16/10,"12,735",,Jan 17,"638,491",,-3.11%,8.90%,,Jan 17,18,
10/17/10,"12,764",,Feb 17,"618,550",,-3.12%,3.50%,,Feb 17,16,
10/18/10,"20,464",,Mar 17,"819,752",,32.53%,23.37%,,Mar 17,17,
10/19/10,"17,964",,Apr 17,"917,716",,11.95%,20.23%,,Apr 17,21,
10/20/10,"20,750",,May 17,"992,601",,8.16%,-2.08%,,May 17,20,
10/21/10,"21,161",,Jun 17,"1,098,294",,10.65%,14.02%,,Jun 17,21,
10/22/10,"20,164",,Jul 17,"1,131,838",,3.05%,-4.76%,,Jul 17,21,
10/23/10,"11,584",,Aug 17,"994,199",,-12.16%,-14.17%,,Aug 17,22,
10/24/10,"11,259",,Sep 17,"934,751",,-5.98%,-11.23%,,Sep 17,19,
10/25/10,"18,430",,Oct 17,"973,682",,4.16%,3.02%,,Oct 17,18,
10/26/10,"13,950",,Nov 17,"792,082",,-18.65%,11.40%,,Nov 17,16,
10/27/10,"19,559",,Dec 17,"534,088",,-32.57%,-18.95%,,Dec 17,17,
10/28/10,"19,995",,Jan 18,"645,901",,20.94%,1.16%,,Jan 18,16,
10/29/10,"19,119",,Feb 18,"576,425",,-10.76%,-6.81%,,Feb 18,16,
10/30/10,"13,493",,Mar 18,"604,921",,4.94%,-26.21%,,Mar 18,17,
10/31/10,"8,739",,Apr 18,"824,737",,36.34%,-10.13%,,Apr 18,20,
11/1/10,"19,785",,May 18,"1,112,686",,34.91%,12.10%,,May 18,22,
11/2/10,"21,754",,Jun 18,"1,181,642",,6.20%,7.59%,,Jun 18,22,
11/3/10,"27,964",,Jul 18,"1,253,102",,6.05%,10.71%,,Jul 18,23,
11/4/10,"22,424",,Aug 18,"1,058,181",,-15.56%,6.44%,,Aug 18,22,
11/5/10,"15,815",,Sep 18,"1,008,201",,-4.72%,7.86%,,Sep 18,19,
